          10 	-24.1503 	-0.307125 	-61.7025 	-79.2683 	-0.309613 	-24.7782 	-80.6523 	-70.0379 	-60.4836 	-73.544 	-26.6171 	-0.306726 	-72.75 	-77.262 	-0.309444 	-27.9176
          20 	-18.5543 	-0.500203 	-66.1602 	-65.8409 	-0.504226 	-19.6134 	-68.8053 	-67.8844 	-65.8608 	-65.6517 	-20.675 	-0.480572 	-69.5486 	-66.4673 	-0.484291 	-22.541
          30 	-16.3185 	-0.674167 	-65.1205 	-64.9431 	-0.678154 	-17.7491 	-66.7508 	-64.5331 	-64.3753 	-65.268 	-17.7123 	-0.656734 	-67.5347 	-63.8792 	-0.660273 	-19.5495
          40 	-15.9989 	-0.807126 	-58.3844 	-64.242 	-0.809691 	-17.9647 	-64.6109 	-59.2926 	-58.327 	-63.4513 	-16.4066 	-0.808257 	-64.9911 	-59.1437 	-0.811125 	-18.0815
          50 	-17.2762 	-0.888515 	-54.6304 	-62.5341 	-0.892668 	-20.4034 	-62.4829 	-55.5668 	-54.4222 	-62.5413 	-16.6464 	-0.977773 	-62.7031 	-55.3417 	-0.981206 	-17.3505
          60 	-20.1802 	-0.946336 	-53.5521 	-59.3802 	-0.947187 	-27.5985 	-61.9211 	-52.773 	-53.6099 	-61.7675 	-18.8077 	-1.17712 	-58.8343 	-52.7485 	-1.17755 	-17.7018
          70 	-22.198 	-1.01658 	-52.3517 	-58.2245 	-1.01809 	-31.6523 	-61.2367 	-50.6141 	-52.4892 	-60.3065 	-21.1307 	-1.10739 	-58.0046 	-50.7024 	-1.10804 	-20.7642
          80 	-19.0282 	-1.10848 	-49.1832 	-55.498 	-1.11009 	-20.7283 	-58.3885 	-48.8078 	-49.1829 	-58.2615 	-28.4241 	-1.13526 	-55.6064 	-48.8668 	-1.13575 	-24.1647
          90 	-15.5169 	-1.23401 	-47.8623 	-53.875 	-1.23736 	-16.6129 	-58.1259 	-47.6143 	-47.8755 	-56.9576 	-28.4088 	-1.17867 	-54.426 	-47.6697 	-1.18106 	-26.1486
         100 	-13.5735 	-1.36612 	-46.7062 	-53.2153 	-1.3678 	-14.8838 	-56.4217 	-46.9639 	-46.7088 	-55.93 	-19.8826 	-1.26089 	-53.4444 	-47.0368 	-1.26232 	-21.446
         110 	-12.8617 	-1.46647 	-45.8374 	-53.333 	-1.46853 	-14.6987 	-55.6763 	-46.599 	-45.8681 	-55.2163 	-16.1853 	-1.37218 	-53.5264 	-46.5442 	-1.37375 	-17.9282
         120 	-13.1769 	-1.5201 	-45.3719 	-53.8127 	-1.52169 	-16.0162 	-54.8052 	-46.2956 	-45.3656 	-54.3812 	-14.4848 	-1.48587 	-53.9751 	-46.2895 	-1.48693 	-16.026
